Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
1;Centralne Muzeum JeÒcÛw Wojennych w £ambinowicach - Opolu ;45-017;Opole;Opole;m. Opole;OPOLSKIE;ul.;MinorytÛw;3;;48-316;£ambinowice;;ul. Muzealna 4;;;WojewÛdztwo Opolskie;;;;06.07.1998;Samorzπdowe
2;Centralne Muzeum Poøarnictwa w Mys≥owicach;41-400;Mys≥owice;Mys≥owice;m. Mys≥owice;åL•SKIE;ul.;Stadionowa;7a;;;;;;;;Komenda G≥Ûwna PaÒstwowej Straøy Poøarnej ;;;;;Samorzπdowe
3;Centralne Muzeum W≥Ûkiennictwa w†£odzi;93-034;£Ûdü;£Ûdü (£Ûdü-GÛrna);m. £Ûdü;£”DZKIE;ul.;Piotrkowska;282;;;;;;;;Miasto £Ûdü ;;;;28.06.2013;Samorzπdowe
4;Interaktywne Muzeum PaÒstwa Krzyøackiego w Dzia≥dowie  ;13-200;Dzia≥dowo;Dzia≥dowo;dzia≥dowski;WARMI—SKO-MAZURSKIE;ul.;Mickiewicza;43;;;;;;;;Gmina ñ Miasto Dzia≥dowo ;;;;;Samorzπdowe
5;Lubuskie Muzeum Wojskowe w†Zielonej GÛrze z siedzibπ w Drzonowie ;66-008;åwidnica;åwidnica;zielonogÛrski;LUBUSKIE;ul.;DrzonÛw;54;;;;;;;;Miasto Zielona GÛra;;;;06.07.1998;Samorzπdowe
6;Miejskie Muzeum Zabawek ze zbiorÛw Henryka Tomaszewskiego;58-540;Karpacz;Karpacz;jeleniogÛrski;DOLNOåL•SKIE;ul.;Kolejowa;3;;;;;;;;Gmina Karpacz ;;;;;Samorzπdowe
7;MiÍdzyrzecki Rejon Umocniony - Muzeum Fortyfikacji i Nietoperzy w Pniewie ;66-300;MiÍdzyrzecz;MiÍdzyrzecz;miÍdzyrzecki;LUBUSKIE;ul.;Pniewo;1;;;;;;;;Gmina MiÍdzyrzecz;;;;;Samorzπdowe
8;Muzeum Czartoryskich w Pu≥awach (w organizacji);24-100;Pu≥awy;GÛra Pu≥awska;pu≥awski;LUBELSKIE;ul. ;Czartoryskich ;8;;;;;;;;Miasto Pu≥awy ;;;;;Samorzπdowe
9;Muzeum ÑGÛrnoúlπski Park Etnograficzny w Chorzowieî;41-500;ChorzÛw;ChorzÛw;m. ChorzÛw;åL•SKIE;ul.;Parkowa;25;;;;;;;;WojewÛdztwo ålπskie;;;;;Samorzπdowe
10;Muzeum Archeologiczne w Biskupinie;88-410;Gπsawa;Gπsawa;øniÒski;KUJAWSKO-POMORSKIE;ul.;Biskupin;17;;;;;;;;WojewÛdztwo Kujawsko ñ Pomorskie ;;;;;Samorzπdowe
11;Muzeum Archeologiczne w GdaÒsku;80-958;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;Mariacka;25;26;;;;;;;WojewÛdztwo Pomorskie ;;;;;Samorzπdowe
12;Muzeum Archeologiczne w Krakowie;31-002;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Senacka;3;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;07.07.2006;Samorzπdowe
13;Muzeum Archeologiczne w Poznaniu;61-781;PoznaÒ;PoznaÒ (PoznaÒ-Stare Miasto);m. PoznaÒ;WIELKOPOLSKIE;ul.;Wodna;27;;;;;;;;Miasto PoznaÒ ;;;;28.12.1998;Samorzπdowe
14;Muzeum Archeologiczne i†Etnograficzne w £odzi;91-415;£Ûdü;£Ûdü;m. £Ûdü;£”DZKIE;pl.;Wolnoúci;14;;;;;;;;WojewÛdztwo £Ûdzkie ;;;;28.12.1998;Samorzπdowe
15;Muzeum Archeologiczne årodkowego Nadodrza w Zielonej GÛrze z siedzibπ w†åwidnicy;66-008;åwidnica;åwidnica;zielonogÛrski;LUBUSKIE;ul.;D≥uga;27;;;;;;;;Miasto Zielona GÛra;;;;06.07.1998;Samorzπdowe
16;Muzeum Archeologiczno-Historyczne w†Elblπgu;82-300;Elblπg;Nowakowo;elblπski;WARMI—SKO-MAZURSKIE;ul.;Bulwar Zygmunta Augusta;11;;;;;;;;Gmina Miasto Elblπg;;;;;Samorzπdowe
17;Muzeum Archeologiczno-Historyczne w†G≥ogowie;67-200;G≥ogÛw;G≥ogÛw;g≥ogowski;DOLNOåL•SKIE;ul.;Brama Brzostowska;1;;;;;;;;Gmina Miejska G≥ogÛw;;;;30.12.2008;Samorzπdowe
18;Muzeum Archeologiczno ñ Historyczne w Stargardzie ;73-110;Stargard;Stargard;stargardzki;ZACHODNIO-POMORSKIE;ul.;Rynek Staromiejski;2-;4;;;;;;;Gmina Miasto Stargard ;;;;;Samorzπdowe
19;Muzeum Architektury we Wroc≥awiu;50-156;Wroc≥aw;Wroc≥aw (Wroc≥aw-Stare Miasto);m. Wroc≥aw;DOLNOåL•SKIE;ul.;BernardyÒska;5;;;;;;;;Gmina Wroc≥aw;;;;28.06.2013;Samorzπdowe
20;Muzeum Armii Krajowej im. gen. Emila Fieldorfa ,,Nilaî w Krakowie;31-511;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Wita Stwosza;12;;;;;;;;Gmina Miejska KrakÛw i WojewÛdztwo Ma≥opolskie;;;;;Samorzπdowe
21;Muzeum Augusta Zamoyskiego w†Jab≥oniu ;21-205;Jab≥oÒ;Jab≥oÒ;parczewski;LUBELSKIE;ul.;Augusta Zamoyskiego;9A;;;;;;;;Gmina Jab≥oÒ;;;;;Samorzπdowe
22;Muzeum Azji i Pacyfiku w Warszawie;00-403;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Solec;24;;;;;;;;WojewÛdztwo Mazowieckie;;;;28.12.1998;Samorzπdowe
23;Muzeum Bitwy pod Grunwaldem w†StÍbarku;14-107;Gietrzwa≥d;Gierzwa≥d;ostrÛdzki;WARMI—SKO-MAZURSKIE;ul.;StÍbark;1;;;;;;;;WojewÛdztwo WarmiÒsko- Mazurskie ;;;;;Samorzπdowe
24;Muzeum Budownictwa Ludowego ñ Park Etnograficzny w Olsztynku;11-015;Olsztynek;Olsztynek;olsztyÒski;WARMI—SKO-MAZURSKIE;ul.;Leúna;23;;;;;;;;WojewÛdztwo WarmiÒsko ñ Mazurskie ;;;;30.12.2008;Samorzπdowe
25;Muzeum Budownictwa Ludowego w†Sanoku;38-500;Sanok;Sanok;sanocki;PODKARPACKIE;ul.;Traugutta;3;;;;;;;;WojewÛdztwo Podkarpackie ;;;;21.09.2005;Samorzπdowe
26;Muzeum Ceramiki w Boles≥awcu;59-700;Boles≥awiec;Boles≥awiec;boles≥awiecki;DOLNOåL•SKIE;ul.;Mickiewicza;13;;;;;;;;Gmina Miejska Boles≥awiec;;;;;Samorzπdowe
27;Muzeum CzÍstochowskie;42-217;CzÍstochowa;CzÍstochowa;m. CzÍstochowa;åL•SKIE;Aleja;NajúwiÍtszej Marii Panny;47;;;;;;;;Gmina CzÍstochowa;;;;;Samorzπdowe
28;Muzeum Dawnego Kupiectwa w åwidnicy;58-100;åwidnica;åwidnica;úwidnicki;DOLNOåL•SKIE;ul.;Rynek;37;;;;;;;;Gmina Miasto åwidnica;;;;;Samorzπdowe
29;Muzeum Dobranocek ze ZbiorÛw Wojciecha Jamy w Rzeszowie;35-064;RzeszÛw;RzeszÛw;m. RzeszÛw;PODKARPACKIE;ul.;Mickiewicza;13;;;;;;;;Gmina Miasto RzeszÛw;;;;;Samorzπdowe
30;Muzeum Dulag 121;05-800;PruszkÛw;PruszkÛw;pruszkowski;MAZOWIECKIE;ul.;3 Maja ;8a;;;;;;;;Powiat Pruszkowski;;;;;Samorzπdowe
31;Muzeum - Dwory KarwacjanÛw i†G≥adyszÛw;38-300;Gorlice;Gorlice;gorlicki;MA£OPOLSKIE;ul.;WrÛblewskiego;10a;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;;Samorzπdowe
32;Muzeum Emigracji w Gdyni                                              ;81-372;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Armii Krajowej;24;;;;;;;;Gmina Miasta Gdyni ;;;;;Samorzπdowe
33;Muzeum Etnograficzne w Zielonej GÛrze z siedzibπ w Ochli;66-006;Ochla;Kie≥pin;zielonogÛrski;LUBUSKIE;ul.;Muzealna;5;;;;;;;;WojewÛdztwo Lubuskie;;;;06.07.1998;Samorzπdowe
34;Muzeum Etnograficzne im. Marii Znamierowskiej - Pr¸fferowej w†Toruniu;87-100;ToruÒ;ToruÒ;m. ToruÒ;KUJAWSKO-POMORSKIE;ul.;Wa≥y gen. Sikorskiego;19;;;;;;;;WojewÛdztwo Kujawsko-Pomorskie;;;;21.09.2005;Samorzπdowe
35;Muzeum Etnograficzne im. Seweryna Udzieli w Krakowie;31-066;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Krakowska;46;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;07.11.2006;Samorzπdowe
36;Muzeum Fauny i Flory Morskiej i årÛdlπdowej w Jaworzu;43-384;Jaworze;Jaworze;bielski;åL•SKIE;ul.;Wapienicka;10;;;;;;;;Gmina Jaworze;;;;;Samorzπdowe
37;Muzeum Filumenistyczne w Bystrzycy K≥odzkiej;57-500;Bystrzyca K≥odzka;Bystrzyca K≥odzka;k≥odzki;DOLNOåL•SKIE;ul.;Ma≥y Rynek;1;;;;;;;;Gmina Bystrzyca K≥odzka;;;;;Samorzπdowe
38;Muzeum Gminne w Biszczy;23-425;Biszcza;Biszcza;bi≥gorajski;LUBELSKIE;ul.;Biszcza;50;;;;;;;;Gmina Biszcza;;;;;Samorzπdowe
39;Muzeum GÛrnictwa WÍglowego w†Zabrzu;41-800;Zabrze;Zabrze;m. Zabrze;åL•SKIE;ul.;3 Maja ;19;;;;;;;;Miasto Zabrze i WojewÛdztwo ålπskie;;;;;Samorzπdowe
40;Muzeum GÛrnoúlπskie w Bytomiu;40-902;Bytom;Bytom;m. Bytom;åL•SKIE;Plac;Jana III Sobieskiego;2;;;;;;;;WojewÛdztwo ålπskie;;;;;Samorzπdowe
41;Muzeum Gross-Rosen w Rogoünicy;58-152;Gocza≥kÛw Rogoünica ;Rogoünica;úwidnicki;DOLNOåL•SKIE;ul.; Ofiar Gross Rosen ;26;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;06.07.1998 r.;Samorzπdowe
42;Muzeum Henryka Sienkiewicza w Woli Okrzejskiej;21-480;Okrzeja;Okrzeja;≥ukowski;LUBELSKIE;;Wola Okrzejska;109;;;;;;;;Powiat £ukowski;;;;;Samorzπdowe
43;Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie;30-045;KrakÛw;KrakÛw (KrakÛw-Krowodrza);m. KrakÛw;MA£OPOLSKIE;ul.;JÛzefitÛw;16;;;;;;;;Gmina Miejska KrakÛw ;;;;12.02.2014;Samorzπdowe
44;Muzeum Historii Katowic w†Katowicach;40-025;Katowice;Katowice;m. Katowice;åL•SKIE;ul.;Ks. J. Szafranka ;9;;;;;;;;Miasto Katowice;;;;;Samorzπdowe
45;Muzeum Historii Kielc;25-303;Kielce;Kielce;m. Kielce;åWI TOKRZYSKIE;ul.;åwiÍtego Leonarda;4;;;;;;;;Miasto Kielce;;;;;Samorzπdowe
46;Muzeum Historii Miasta ZduÒska Wola;98-220;ZduÒska Wola;ZduÒska Wola (Kolonia Karsznice);zduÒskowolski;£”DZKIE;ul.;Z≥otnickiego;7;;;;;;;;Miasto ZduÒska Wola;;;;;Samorzπdowe
47;Muzeum Historii Polskiego Ruchu Ludowego w Warszawie;02-730;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;Aleja;Wilanowska;204;;;;;;;;Samorzπd WojewÛdztwa Mazowieckiego;;;;18.05.1998;Samorzπdowe
48;Muzeum Historii Przemys≥u w†OpatÛwku;62-860;OpatÛwek;OpatÛwek;kaliski;WIELKOPOLSKIE;ul.;Koúcielna;1;;;;;;;;Powiat Kaliski;;;;28.12.1998;Samorzπdowe
49;Muzeum Historii Ziemi KamieÒskiej;72-400;KamieÒ Pomorski;KamieÒ Pomorski;kamieÒski;ZACHODNIO-POMORSKIE;Plac;Katedralny;7;7;;;;;;;Gmina KamieÒ Pomorski;;;;;Samorzπdowe
50;Muzeum Historyczne Miasta GdaÒska;80-831;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;D≥uga;46;47;;;;;;;Gmina Miasta GdaÒska  ;;;;30.12.2014;Samorzπdowe
51;Muzeum Historyczne Miasta Krakowa;31-011;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Rynek G≥Ûwny;35;;;;;;;;Gmina Miejska KrakÛw ;;;;21.09.2005;Samorzπdowe
52;Muzeum Historyczne Miasta Tarnobrzega;39-400;Tarnobrzeg;Tarnobrzeg;m. Tarnobrzeg;PODKARPACKIE;ul.;Sandomierska;27;;;;;;;;Gmina Tarnobrzeg;;;;;Samorzπdowe
53;Muzeum Historyczne - Pa≥ac w Dukli;38-450;Dukla;Dukla;kroúnieÒski;PODKARPACKIE;ul.;Trakt WÍgierski;5;;;;;;;;Powiat KroúnieÒski;;;;;Samorzπdowe
54;Muzeum Historyczne w Bielsku-Bia≥ej;43-300;Bielsko-Bia≥a;Bielsko-Bia≥a;bielski;åL•SKIE;ul.;WzgÛrze;16;;;;;;;;WojewÛdztwo ålπskie;;;;;Samorzπdowe
55;Muzeum Historyczne w E≥ku  (w†organizacji);19-300;E≥k;E≥k;e≥cki;WARMI—SKO-MAZURSKIE;ul.;Ma≥eckich;3;;;;;;;;Miasto E≥k;;;;;Samorzπdowe
56;Muzeum Historyczne w Legionowie;05-120;Legionowo;Legionowo;legionowski;MAZOWIECKIE;ul.;Adama Mickiewicza;23;;;;;;;;Gmina Legionowo;;;;;Samorzπdowe
57;Muzeum Historyczne w Lubinie (w organizacji);59-300 ;Lubin ;Lubin;lubiÒski;DOLNOåL•SKIE;ul. ;Miko≥aja Pruzi ;7;i9 ;;;;;;;Gmina Miejska Lubin;;;;;Samorzπdowe
58;Muzeum Historyczne w Przasnyszu (w†organizacji);06-300;Przasnysz;Przasnysz;przasnyski;MAZOWIECKIE;ul.;Jana KiliÒskiego;2;;;;;;;;Miasto Przasnysz ;;;;;Samorzπdowe
59;Muzeum Historyczne w Sanoku;38-500;Sanok;Sanok;sanocki;PODKARPACKIE;ul.;Zamkowa;2;;;;;;;;Powiat Sanocki;;;;;Samorzπdowe
60;Muzeum Historyczno-Archeologiczne w Ostrowcu åwiÍtokrzyskim;27-400;Ostrowiec åwiÍtokrzyski;Szewna;ostrowiecki;åWI TOKRZYSKIE;ul.;SudÛ≥;135A;;;;;;;;Powiat Ostrowiecki;;;;14.12.2001;Samorzπdowe
61;Muzeum Historyczno-Etnograficzne im. Juliana Rydzkowskiego w Chojnicach;89-600;Chojnice;Chojnice;chojnicki;POMORSKIE;ul.;Podmurna;15;;;;;;;;Powiat Chojnicki;;;;15.07.2011;Samorzπdowe
62;Muzeum im. Aleksandra K≥osiÒskiego w KÍtach;32-650;KÍty;KÍty;oúwiÍcimski;MA£OPOLSKIE;ul.;Rynek;16;;;;;;;;Gmina KÍty;;;;;Samorzπdowe
63;Muzeum im. Anny i Jaros≥awa IwaszkiewiczÛw w Stawisku;05-807;Podkowa Leúna;Podkowa Leúna;grodziski;MAZOWIECKIE;ul.;Go≥Íbia;1;;;;;;;;Powiat Grodziski;;;;;Samorzπdowe
64;Muzeum im. Jacka Malczewskiego w Radomiu;26-600;Radom;Radom;m. Radom;MAZOWIECKIE;ul.;Rynek;11;;;;;;;;WojewÛdztwo Mazowieckie;;;;;Samorzπdowe
65;Muzeum im. Jana Dzierøona w†Kluczborku;46-200;Kluczbork;BπkÛw;kluczborski;OPOLSKIE;ul.;Zamkowa;10;;;;;;;;Gmina Kluczbork;;;;;Samorzπdowe
66;"Muzeum im. Jana Kasprowicza w Inowroc≥awiu
";88-100;Inowroc≥aw;Inowroc≥aw;inowroc≥awski;KUJAWSKO-POMORSKIE;ul.;Solankowa;33;;;;;;;;Powiat Inowroc≥awski;;;;;Samorzπdowe
67;Muzeum im. Jerzego Dunin-Borkowskiego  w Kroúniewicach;99-340;Kroúniewice;Kroúniewice;kutnowski;£”DZKIE;ul. ;Plac Wolnoúci;1;;;;;;;;Powiat Kutnowski;;;;;Samorzπdowe
68;Muzeum im. Kazimierza Pu≥askiego w Warce ;05-660;Warka;Warka;grÛjecki;MAZOWIECKIE;ul.;K. Pu≥askiego;24;;;;;;;;Powiat GrÛjecki ;;;;;Samorzπdowe
69;Muzeum im. ks. dr. W≥adys≥awa £Ígi w Grudziπdzu;86-300;Grudziπdz;Grudziπdz;m. Grudziπdz;KUJAWSKO-POMORSKIE;ul.;Wodna;3;5;;;;;;;Gmina - Miasto Grudziπdz;;;;28.12.1999;Samorzπdowe
70;Muzeum im. ks. Stanis≥awa Staszica w†Hrubieszowie;22-500;HrubieszÛw;HrubieszÛw;hrubieszowski;LUBELSKIE;ul.;3 Maja ;11;;;;;;;;Powiat Hrubieszowski;;;;;Samorzπdowe
71;Muzeum im. ,,Or≥a Bia≥egoî w Skarøysku - Kamiennej;26-110;Skarøysko - Kamienna;Skarøysko-Kamienna;skarøyski;åWI TOKRZYSKIE;ul.;S≥oneczna;90;;;;;;;;Gmina Skarøysko - Kamienna;;;;;Samorzπdowe
72;Muzeum im. prof. Stanis≥awa Fischera w Bochni;32-700;Bochnia;Bochnia;bocheÒski;MA£OPOLSKIE;ul.;Rynek;20;;;;;;;;Gmina Miasta Bochnia;;;;;Samorzπdowe
73;Muzeum im. Przypkowskich w JÍdrzejowie;28-300;JÍdrzejÛw;JÍdrzejÛw;jÍdrzejowski;åWI TOKRZYSKIE;pl. ;Tadeusza Koúciuszki;7-;8;;;;;;;Powiat JÍdrzejowski;;;;;Samorzπdowe
74;Muzeum im. W≥adys≥awa Orkana w†Rabce - Zdroju;34-700;Rabka-ZdrÛj;Rabka-ZdrÛj;nowotarski;MA£OPOLSKIE;ul.;Sπdecka;6;;;;;;;;Powiat Nowotarski;;;;;Samorzπdowe
75;Muzeum im. Wojciecha KÍtrzyÒskiego w KÍtrzynie;11-400;KÍtrzyn;KÍtrzyn;kÍtrzyÒski;WARMI—SKO-MAZURSKIE;pl.;Zamkowy;1;;;;;;;;Gmina Miejska KÍtrzyn;;;;;Samorzπdowe
76;Muzeum im. Zofii i Wac≥awa Na≥kowskich w Wo≥ominie;05-200;Wo≥omin;Wo≥omin;wo≥omiÒski;MAZOWIECKIE;ul.;Wac≥awa Na≥kowskiego;17;;;;;;;;Gmina Wo≥omin;;;;30.08.2004;Samorzπdowe
77;Muzeum Inøynierii Miejskiej w†Krakowie;31-060;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;åw. WawrzyÒca;13;15;;;;;;;Gmina Miejska KrakÛw;;;;;Samorzπdowe
78;Muzeum JÛzefa Ignacego Kraszewskiego  w Romanowie;21-518;SosnÛwka;SosnÛwka;bialski;LUBELSKIE;ul.;RomanÛw;25;;;;;;;;Powiat Bialski;;;;;Samorzπdowe
79;Muzeum Karkonoskie w Jeleniej GÛrze;58-500;Jelenia GÛra;Jelenia GÛra;m. Jelenia GÛra;DOLNOåL•SKIE;ul.;Jana Matejki;28;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;28.12.1998;Samorzπdowe
80;Muzeum Karykatury im. Eryka LipiÒskiego w Warszawie;00-070;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Kozia;11;;;;;;;;Miasto Sto≥eczne Warszawa;;;;;Samorzπdowe
81;Muzeum - Kaszubski Park Etnograficzny im. Teodory i Izydora Gulgowskich  we Wdzydzach Kiszewskich;83-406;Wπglikowice;Koúcierzyna;koúcierski;POMORSKIE;;Wdzydze Kiszewskie;;;;;;;;;WojewÛdztwo Pomorskie ;;;;28.11.2002;Samorzπdowe
82;Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach;83-300;Kartuzy;Dzierøπøno;kartuski;POMORSKIE;ul.;Koúcierska;1;;;;;;;;Gmina Kartuzy;;;;25.01.2001;Samorzπdowe
83;Muzeum Kinematografii w £odzi;90-312;£Ûdü;£Ûdü (£Ûdü-Widzew);m. £Ûdü;£”DZKIE;pl.;ZwyciÍstwa;1;;;;;;;;Miasto £Ûdü;;;;;Samorzπdowe
84;Muzeum Konstantego Ildefonsa Ga≥czyÒskiego w Praniu z Oddzia≥em Muzeum Micha≥a Kajki w OgrÛdku ;12-220;Ruciane Nida;Ruciane-Nida;piski;WARMI—SKO-MAZURSKIE;;Pranie ;1;;;;;;;;Powiat Piski;;;;;Samorzπdowe
85;Muzeum KresÛw w Lubaczowie;37-600;LubaczÛw;LubaczÛw;lubaczowski;PODKARPACKIE;ul.;Sobieskiego;4;;;;;;;;Powiat Lubaczowski ;;;;;Samorzπdowe
86;Muzeum Kultury Kurpiowskiej w†Ostro≥Íce;07-410;Ostro≥Íka;Ostro≥Íka;m. Ostro≥Íka;MAZOWIECKIE;ul.;gen. JÛzefa Bema;8;;;;;;;;WojewÛdztwo Mazowieckie;;;;;Samorzπdowe
87;Muzeum Kultury Ludowej PogÛrza Sudeckiego w Kudowie - Zdroju;57-350;Kudowa-ZdrÛj;Kudowa-ZdrÛj;k≥odzki;DOLNOåL•SKIE;ul.;Pstrπøna;14;;;;;;;;Gmina Kudowa-ZdrÛj;;;;;Samorzπdowe
88;Muzeum Kultury Ludowej w†Kolbuszowej;36-100;Kolbuszowa;Kolbuszowa;kolbuszowski;PODKARPACKIE;ul.;Tadeusza Koúciuszki;6;;;;;;;;WojewÛdztwo Podkarpackie ;;;;31.01.2011;Samorzπdowe
89;Muzeum Kultury Ludowej w†WÍgorzewie;11-600;WÍgorzewo;WÍgorzewo;wÍgorzewski;WARMI—SKO-MAZURSKIE;ul.;Portowa;1;;;;;;;;WojewÛdztwo WarmiÒsko ñ Mazurskie ;;;;26.06.2012;Samorzπdowe
